groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000040026;ENSMUST00000211660;ENSMUST00000211660.2;ENSMUSG00000040026.9;0;0
ENSMUSG00000040212;ENSMUST00000038876;ENSMUST00000038876.13;ENSMUSG00000040212.13;0;7,72E-65
ENSMUSG00000040212;ENSMUST00000164119;ENSMUST00000164119.3;ENSMUSG00000040212.13;0;3,14E-15
ENSMUSG00000040212;ENSMUST00000210297;ENSMUST00000210297.2;ENSMUSG00000040212.13;0;4,08E-28
ENSMUSG00000040212;ENSMUST00000210939;ENSMUST00000210939.2;ENSMUSG00000040212.13;0;2,38E-26
ENSMUSG00000040528;ENSMUST00000086353;ENSMUST00000086353.11;ENSMUSG00000040528.16;9,35E+03;0
ENSMUSG00000040528;ENSMUST00000106794;ENSMUST00000106794.9;ENSMUSG00000040528.16;9,35E+03;0
ENSMUSG00000040713;ENSMUST00000040298;ENSMUST00000040298.5;ENSMUSG00000040713.13;0;9,58E-07
ENSMUSG00000040713;ENSMUST00000111432;ENSMUST00000111432.10;ENSMUSG00000040713.13;0;0.000178107948027528
ENSMUSG00000040952;ENSMUST00000108429;ENSMUST00000108429.8;ENSMUSG00000040952.17;0;1,16E+00
ENSMUSG00000040952;ENSMUST00000108430;ENSMUST00000108430.10;ENSMUSG00000040952.17;0;3,79E-12
ENSMUSG00000040952;ENSMUST00000129847;ENSMUST00000129847.8;ENSMUSG00000040952.17;0;2,26E-44
ENSMUSG00000040952;ENSMUST00000130335;ENSMUST00000130335.8;ENSMUSG00000040952.17;0;7,44E-58
ENSMUSG00000040952;ENSMUST00000153451;ENSMUST00000153451.9;ENSMUSG00000040952.17;0;3,25E-05
ENSMUSG00000041355;ENSMUST00000035785;ENSMUST00000035785.9;ENSMUSG00000041355.14;0.00110891142650791;0
ENSMUSG00000041355;ENSMUST00000195014;ENSMUST00000195014.6;ENSMUSG00000041355.14;0.00110891142650791;0
ENSMUSG00000041453;ENSMUST00000075453;ENSMUST00000075453.9;ENSMUSG00000041453.13;0;1,47E+08
ENSMUSG00000041453;ENSMUST00000099272;ENSMUST00000099272.3;ENSMUSG00000041453.13;0;3,43E+07
